K,interaction_mode,timing_mode,final_mean,final_variance,final_std,time_to_stability,stable,count_state_0,count_state_1,count_state_2,count_state_3,replicate,count_state_4,count_state_5,count_state_6,count_state_7,count_state_8,count_state_9
7,dyadic,asynchronous,3.65,0.6375,0.7984359711335656,31.0,True,0,0,16,63,27,96.0,25.0,0.0,0.0,,
7,dyadic,asynchronous,3.72,1.6016,1.26554336156451,14.0,True,3,4,7,88,28,54.0,25.0,12.0,7.0,,
7,dyadic,asynchronous,3.5,0.81,0.9,48.0,True,0,0,29,69,29,75.0,27.0,0.0,0.0,,
9,dyadic,asynchronous,4.505,0.6499749999999999,0.8062102703389481,45.0,True,0,0,0,17,0,88.0,72.0,23.0,0.0,0.0,0.0
9,dyadic,asynchronous,4.66,1.0344000000000002,1.0170545708072898,27.0,True,0,0,6,17,1,55.0,90.0,25.0,7.0,0.0,0.0
9,dyadic,asynchronous,4.31,1.2239,1.106300140106653,17.0,True,0,1,8,31,2,83.0,47.0,25.0,5.0,0.0,0.0
9,dyadic,asynchronous,4.72,0.5316000000000001,0.7291090453423275,36.0,True,0,0,0,11,3,56.0,111.0,22.0,0.0,0.0,0.0
9,dyadic,asynchronous,3.95,0.9275,0.9630680142129111,27.0,True,3,0,4,53,4,80.0,57.0,3.0,0.0,0.0,0.0
9,dyadic,asynchronous,4.715,0.7137749999999999,0.8448520580551366,33.0,True,0,0,0,16,5,60.0,89.0,35.0,0.0,0.0,0.0
9,dyadic,asynchronous,4.68,1.0875999999999997,1.0428806259586951,18.0,True,0,0,0,34,6,46.0,72.0,47.0,0.0,1.0,0.0
